title,status,contributor,project,extent,extentUnits,completed,scansToDate,description,date,arcs,url
kentucky papers 4,scanning,KDL,NEH,54,boxes,27,1000,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 5,scanning,KDL,DPLA,500,boxes,25,300,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 7,targeted,KDL,non-project,334,boxes,334,55000,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 12,targeted,KDL,NEH,673,boxes,175,26428.571,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 13,scanning,KDL,DPLA,700,boxes,157,27285.714,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 15,completed,KDL,non-project,754,boxes,120,29000,"like, some records, a whole mess of them.",#VALUE!,blank,blank
kentucky papers 1 (1700 - 1800),completed,UK,NEH,380,boxes,380,17000,"like, some records, a whole mess of them.",10/24/2011,blank,blank
kentucky papers 2,completed,UK,DPLA,54,books,54,34000,"like, some records, a whole mess of them.",10/25/2011,blank,blank
kentucky papers 3,completed,UK,non-project,37,folders,37,750,"like, some records, a whole mess of them.",10/26/2011,blank,blank
kentucky papers 6,scanning,UK,NEH,2500,blueprints,2000,2000,"like, some records, a whole mess of them.",10/27/2011,blank,blank
kentucky papers 8,scanning,UK,non-project,567,boxes,250,23000,"like, some records, a whole mess of them.",10/28/2011,blank,blank
kentucky papers 9,completed,UK,NEH,593,boxes,231.429,23857.143,"like, some records, a whole mess of them.",10/29/2011,blank,blank
kentucky papers 10,targeted,UK,DPLA,620,books,231,24714.286,"like, some records, a whole mess of them.",10/30/2011,blank,blank
kentucky papers 11,completed,UK,non-project,649,folders,194,25571.429,"like, some records, a whole mess of them.",10/31/2011,blank,blank
kentucky papers 14,scanning,UK,NEH,727,blueprints,138,28142.857,"like, some records, a whole mess of them.",11/1/2011,blank,blank
kentucky papers 16,scanning,UK,non-project,780,boxes,101,29857.143,"like, some records, a whole mess of them.",11/2/2011,blank,blank
kentucky papers 17,completed,UK,NEH,807,boxes,82,30714.286,"like, some records, a whole mess of them.",11/3/2011,blank,blank
kentucky papers 18,completed,UK,DPLA,834,books,64,31571.429,"like, some records, a whole mess of them.",11/4/2011,blank,blank
kentucky papers 19,completed,UK,non-project,834,folders,45,32428.571,"like, some records, a whole mess of them.",11/5/2011,blank,blank
Robert McMeekin Architectural Drawings,scanning,UK - Design Library,non-project,12,drawers,4,710,blank,11/6/2011,blank,blank
"Bill Caddell slide collection of Harlan Hubbard watercolors, circa 1930-1950",completed,UK - Fine Arts Library,non-project,188,slides,188,188,blank,11/7/2011,blank,blank
University of Kentucky Yearbooks,scanning,UK - Special Collections,non-project,37,volumes,6,1794,blank,11/8/2011,blank,blank
University of Kentucky Course Catalogs,scanning,UK - Special Collections,non-project,36,volumes,15,8985,blank,11/9/2011,blank,blank
Bagby-Rogers-Wood-Fishback family papers,scanning,UK - Special Collections,non-project,2,boxes,1,739,"The Babgy-Rogers-Wood-Fishback family papers consist of correspondence and financial papers of the John and Matilda Bagby family and their children and children-in-law (Wood, Rogers, and Fishback families).  The extended family was originally from Barren County, Kentucky, in the communities of Blue Spring Grove (Goosehorn or Hiseville), Rich Grove (south of later Goodnight), and Coral Hill.  Various family members moved west to Missouri, Illinois, California, and Texas during the mid-nineteenth century, and the majority of the letters in this collection document that movement.  The writers alternately express their joy in and their dislike of their new surroundings and encourage their Barren County relatives to send them news of the rest of the family.  The writers' health concerns, social lives, religious participation, political opinions, financial and farm dealings, and wartime observations take place within the context of being immigrants in newly-created western states.

Specific topics in the letters include on-the-scene accounts from the Christian perspective of events leading up to the lynching of Joseph Smith and other Mormon leaders in Illinois in 1844; personal observations on, attitudes about, and effects of the Civil War on a slave-owning family which lost three of its sons to the conflict; comments on Abraham Lincoln, Henry Clay, and Andrew Jackson; criticism of the mail; and detailed accounts of a trip to California and a Southern migrant's reflections on the diverse ethnic makeup of the state, gender roles, and geography.

",11/10/2011,blank,blank
"Filson maps of Kentucky, 1784, 1793",completed,UK - Special Collections,non-project,2,maps,2,2,"John Filson (ca. 1747-1788), a surveyor in Lexington, published the first book about Kentucky entitled Discovery, Settlement and Present State of Kentucke, in 1784.The Filson maps of Kentucky include two 18th century maps of Kentucky as observed by John Filson.",11/11/2011,blank,blank
Mack Hughes negatives ,completed,UK - Special Collections,non-project,3128,negatives,3128,3128,Negatives primarily documenting University of Kentucky football and basketball teams in the early 1950s. The collection also includes images of Lexington and other campus scenes.,11/12/2011,blank,blank
"Lexington city directories, 1839-1902",targeted,UK - Special Collections,non-project,63,volumes,blank,blank,blank,11/13/2011,blank,blank
"Commencement programs, 1880-2012",targeted,UK - Special Collections,non-project,133,volumes,blank,blank,blank,11/14/2011,blank,blank
